time,Tank1WaterLevel,Tank2WaterLevel,Tank2OutFlow,Tank3OutFlow,Tank2.level,wt3_valve
0,1.00E-06,0,0,0,0,FALSE
0.05,6.89E-07,3.11E-07,0,0,0,FALSE
0.1,0.003333928,4.05E-07,0,0,0,FALSE
0.15,0.054484331,0.008850002,0,0,0,FALSE
0.2,0.077170513,0.029497154,0,0,0,FALSE
0.25,0.06660111,0.040066557,0,0,0,FALSE
0.3,0.060735312,0.045932355,0,0,0,FALSE
0.35,0.095830375,0.054170625,0,0,0,FALSE
0.4,0.123351477,0.066649523,0,0,0,FALSE
0.45,0.119414404,0.087253262,0,0,0,FALSE
0.5,0.112229993,0.094437674,0,0,0,FALSE
0.55,0.146386121,0.103614879,0,0,0,FALSE
0.6,0.173625351,0.116375649,0,0,0,FALSE
0.65,0.169494899,0.137172767,0,0,0,FALSE
0.7,0.162256312,0.144411354,0,0,0,FALSE
0.75,0.196379501,0.153621499,0,0,0,FALSE
0.8,0.223611824,0.166389176,0,0,0,FALSE
0.85,0.219479885,0.187187781,0,0,0,FALSE
0.9,0.212242667,0.194425,0,0,0,FALSE
0.95,0.246368772,0.203632228,0,0,0,FALSE
1,0.273602999,0.216398001,0,0,0,FALSE
1.05,0.269473487,0.23719418,0,0,0,FALSE
1.1,0.262237563,0.244430104,0,0,0,FALSE
1.15,0.296365175,0.253635825,0,0,0,FALSE
1.2,0.323600163,0.266400837,0,0,0,FALSE
1.25,0.31947151,0.287196157,0,0,0,FALSE
1.3,0.312236011,0.294431655,0,0,0,FALSE
1.35,0.346364098,0.303636902,0,0,0,FALSE
1.4,0.373599319,0.316401681,0,0,0,FALSE
1.45,0.369470925,0.337196741,0,0,0,FALSE
1.5,0.362235554,0.344432113,0,0,0,FALSE
1.55,0.396363781,0.353637219,0,0,0,FALSE
1.6,0.423599072,0.366401928,0,0,0,FALSE
1.65,0.419470754,0.387196913,0,0,0,FALSE
1.7,0.41223542,0.394432247,0,0,0,FALSE
1.75,0.446363689,0.403637311,0,0,0,FALSE
1.8,0.473598999,0.416402001,0,0,0,FALSE
1.85,0.469470704,0.437196963,0,0,0,FALSE
1.9,0.462235381,0.444432286,0,0,0,FALSE
1.95,0.496363662,0.453637338,0,0,0,FALSE
2,0.523598978,0.466402022,0,0,0,FALSE
2.05,0.519470689,0.487196978,0,0,0,FALSE
2.1,0.512235369,0.494432298,0,0,0,FALSE
2.15,0.546363654,0.503636023,2.43E-04,0,0,FALSE
2.2,0.573596375,0.516361988,0.00207976,0,8.92E-06,FALSE
2.25,0.569430045,0.536947626,0.006155907,0,1.28E-04,FALSE
2.3,0.562125643,0.543964219,0.008048791,0,3.60E-04,FALSE
2.35,0.596079808,0.552807344,0.009837474,0,8.37E-04,FALSE
2.4,0.623159296,0.56529771,0.011853142,0,0.00122439,FALSE
2.45,0.61873089,0.585559534,0.015897603,0,0.001928859,FALSE
2.5,0.611241001,0.59237274,0.017750586,0,0.002551282,FALSE
2.55,0.644910381,0.600920337,0.019479675,0,0.00361014,FALSE
2.6,0.671798312,0.613217353,0.02145641,0,0.004383564,FALSE
2.65,0.667082213,0.633192405,0.02544326,0,0.005664359,FALSE
2.7,0.659400887,0.639815984,0.027258198,0,0.0066688,FALSE
2.75,0.692784136,0.648080958,0.028930617,0,0.008298242,FALSE
2.8,0.719482125,0.660190629,0.030869799,0,0.009449892,FALSE
2.85,0.714482438,0.679886149,0.034800624,0,0.011295616,FALSE
2.9,0.70661296,0.686324328,0.036578406,0,0.012674538,FALSE
2.95,0.739715361,0.694312602,0.038195374,0,0.014863317,FALSE
3,0.766227042,0.706238729,0.040097773,0,0.016385742,FALSE
3.05,0.760949271,0.725660302,0.043973699,0,0.018785267,FALSE
3.1,0.752895323,0.731916757,0.045715064,0,0.020531295,FALSE
3.15,0.785722389,0.739633799,0.047277677,0,0.023268394,FALSE
3.2,0.812051423,0.751380001,0.04914402,0,0.025154293,FALSE
3.25,0.806501041,0.770533027,0.05296613,0,0.028096713,FALSE
3.3,0.798266254,0.776611339,0.054671795,0,0.030202618,FALSE
3.35,0.830823407,0.78406249,0.056181124,0,0.03347724,FALSE
3.4,0.856973391,0.795632312,0.05801212,0,0.035719454,FALSE
3.45,0.851155767,0.814522079,0.061781473,0,0.039194077,FALSE
3.5,0.842743702,0.820425755,0.063452141,0,0.041652772,FALSE
3.55,0.875036256,0.827616253,0.064909236,0,0.045454331,FALSE
3.6,0.901010717,0.839013167,0.066705582,0,0.048045844,FALSE
3.65,0.894931112,0.857644859,0.070423217,0,0.052042191,FALSE
3.7,0.88634526,0.863377339,0.072059578,0,0.054846728,FALSE
3.75,0.918378427,0.870312316,0.073465467,0,0.059164848,FALSE
3.8,0.94418082,0.881539728,0.075227844,0,0.06209878,FALSE
3.85,0.937844395,0.899918428,0.07889478,0,0.066606576,FALSE
3.9,0.929088178,0.905483083,0.080497509,0,0.069750144,FALSE
3.95,0.960867066,0.912167571,0.0818532,0,0.074574652,FALSE
4,0.98650078,0.923228818,0.083582279,0,0.077844261,FALSE
4.05,0.985695312,0.942241788,0.087375524,0,0.082853435,FALSE
4.1,0.975764525,0.948639605,0.089151976,0,0.086335811,FALSE
4.15,0.983130185,0.952552399,0.090256839,0,0.091679008,FALSE
4.2,1.012738197,0.959319453,0.091136798,0,0.095285599,FALSE
4.25,1.048339809,0.978163795,0.094295252,0,0.100750874,FALSE
4.3,1.035488147,0.990522651,0.096978235,0,0.104512156,FALSE
4.35,1.021527761,0.998583864,0.099315042,0,0.110321906,FALSE
4.4,1.032105433,1.000687583,0.099876619,0,0.114286719,FALSE
